date,benchmark_ret,overlay_ret,equity_weight,defensive_weight,transaction_cost,regime_label,regime_state,bull_aware_equity_weight,bull_aware_defensive_weight,bull_aware_transaction_cost,bull_aware_ret,regime_momentum_equity_weight,regime_momentum_defensive_weight,regime_momentum_transaction_cost,regime_momentum_ret,vol_managed_equity_weight,vol_managed_defensive_weight,vol_managed_transaction_cost,vol_managed_ret,bull_period
2025-01-23,0.00531351199483443,0.002656755997417215,0.5,0.5,0.0,transition,0,0.7499999998008169,0.2500000001991831,1.196255872137897e-13,0.003985133994947835,0.9499999998008168,0.05000000019918316,1.1962553170263845e-13,0.005047836393914721,0.8582436885538984,0.14175631144610157,1.8997785169851955e-06,0.004558388355105099,True
2025-01-24,-0.0028551769899211044,-0.0011230447015630474,0.5,0.5,0.0,transition,0,0.7499999998978545,0.2500000001021455,4.85188000887149e-14,-0.001989110845436736,0.9499999998978546,0.05000000010214545,4.851885559986613e-14,-0.0026819637607799584,0.8838764468855251,0.11612355311447486,1.2816379165813353e-05,-0.0024657106575100307,True
2025-01-27,-0.0145806426234667,-0.006559861121813726,0.5,0.5,0.0,transition,0,0.749999999951604,0.25000000004839595,2.6874780179042545e-14,-0.010570251871890741,0.949999999951604,0.050000000048396,2.6874724667891315e-14,-0.01377856447255193,0.880390098962683,0.11960990103731695,1.7431739614210406e-06,-0.012663656034118813,True
2025-01-28,0.009217800900823026,0.0047304662174915135,0.5,0.5,0.0,transition,0,0.7499999832251029,0.25000001677489714,8.363250592058336e-12,0.006974133400244864,0.9499999832251029,0.05000001677489707,8.363250536547185e-12,0.008769067273577468,0.8523471614720088,0.14765283852799116,1.4021468745337106e-05,0.007878644025239684,True
2025-01-29,-0.004678873378710091,-0.0026432772338372823,0.5,0.5,0.0,transition,0,0.749999998277566,0.250000001722434,7.526231582399845e-12,-0.003661075306787558,0.949999998277566,0.05000000172243402,7.526231526888694e-12,-0.004475313764736681,0.8714111568609126,0.12858884313908736,9.5319976944519e-06,-0.004164895469669382,True
2025-01-30,0.0052754370946348494,0.0029417438422219,0.5,0.5,0.0,transition,0,0.7499999981745356,0.25000000182546445,5.151523652102696e-14,0.004108590459856711,0.9499999981745355,0.05000000182546449,5.151523652102696e-14,0.0050420677608218915,0.8700091876281926,0.12999081237180743,7.009846163600341e-07,0.0046680187466029595,True
2025-01-31,-0.005046803169735048,-0.0024626334759710877,0.5,0.5,0.0,transition,0,0.7499999987705604,0.25000000122943955,2.9801244805227613e-13,-0.0037547183167969196,0.9499999987705605,0.050000001229439484,2.980125035634273e-13,-0.004788386194302504,0.8701057801144801,0.12989421988551986,4.829624314378611e-08,-0.004375514053131647,True
2025-02-03,-0.007608603880785325,-0.005809405841231241,0.5,0.5,0.0,transition,0,0.7499995396635092,0.2500004603364908,2.2955352563247544e-10,-0.006709003434088785,0.9499995396635093,0.05000046033649075,2.2955352563247544e-10,-0.007428682649910419,0.8979461701174052,0.10205382988259482,1.3920195001462522e-05,-0.007255293974479287,True
2025-02-04,0.007224871842350655,0.0007260858955589757,0.0,1.0,0.00025,stress,2,0.25,0.75,0.0002499997698317546,0.002288282612425141,0.45,0.55,0.0002499997698317546,0.003538039801783477,0.29486124514062584,0.7051387548593742,0.0003015424624883897,0.0025170682379588253,True
2025-02-05,0.003908656680821743,0.0020090577407033405,0.5,0.5,0.00025,transition,0,0.7497893205674486,0.2502106794325514,0.00024989466028372436,0.0028332674773415343,0.9497893205674486,0.05021067943255142,0.0002498946602837243,0.003493107053388895,0.9162740325265791,0.08372596747342087,0.00031070639369297666,0.0033217217527196806,True
2025-02-06,0.00364432448840879,0.0016394359681659032,0.5,0.5,0.0,transition,0,0.749999946870988,0.25000005312901197,1.0531315176970369e-07,0.0026417747021000846,0.9499999468709881,0.0500000531290119,1.053131517697592e-07,0.0034437301101972392,0.9139374557160739,0.08606254428392612,1.1682884052526266e-06,0.00329806458588806,True
2025-02-07,-0.009464837258386094,-0.0052807978638994,0.5,0.5,0.0,transition,0,0.7499999798954334,0.25000002010456657,1.6512222700271196e-11,-0.007372817409418373,0.9499999798954335,0.0500000201045665,1.6512222700271196e-11,-0.00904643316721305,0.9126534202067671,0.0873465797932329,6.420177546533901e-07,-0.008734556214483625,True
2025-02-10,0.006712589964470439,0.003600286686517351,0.5,0.5,0.0,transition,0,0.7499999461898796,0.25000005381012036,1.6852776896225664e-11,0.00515643797369429,0.9499999461898796,0.050000053810120404,1.6852776951736815e-11,0.006401359284875525,0.9374999327373496,0.06250006726265045,1.2423256265291227e-05,0.006311128379777477,True
2025-02-11,0.00033957312690802155,4.785021422826219e-05,0.5,0.5,0.0,transition,0,0.7499999792605069,0.2500000207394931,1.653531361833771e-11,0.00019371164193245758,0.9499999792605069,0.050000020739493056,1.653531367384886e-11,0.0003104008070043613,0.9374999740756336,0.06250002592436643,2.066914200904435e-11,0.00030310772702844623,True
2025-02-12,-0.002723902117491961,-0.0020327645725891075,0.5,0.5,0.0,transition,0,0.7499999853622084,0.25000001463779165,3.0508507387061457e-12,-0.0023783333278579303,0.9499999853622083,0.05000001463779169,3.0508506831949943e-12,-0.0026547883458190717,0.9374999817027605,0.0625000182972395,3.813563465016045e-12,-0.0026375099029008493,True
2025-02-13,0.010426357037460532,0.005884893223175758,0.5,0.5,0.0,transition,0,0.7499999646497608,0.2500000353502392,1.0356223767438166e-11,0.008155624798878257,0.9499999646497608,0.050000035350239225,1.0356223767438166e-11,0.009972210324592166,0.937499955812201,0.06250004418779898,1.2945279737053284e-11,0.009858673646375073,True
2025-02-14,-7.195338728738232e-05,0.0006348368201994359,0.5,0.5,0.0,transition,0,0.749999983208253,0.250000016791747,9.279246093729655e-12,0.00028144173091326536,0.9499999832082531,0.050000016791746926,9.279246149240805e-12,-1.2743520814620585e-06,0.9374999790103162,0.06250002098968377,1.159905760328428e-11,1.6395406720018234e-05,True
2025-02-17,0.0,0.0,0.5,0.5,0.0,transition,0,0.7499999824552397,0.2500000175447603,3.765066591832067e-13,-3.765066591832067e-13,0.9499999824552396,0.050000017544760356,3.7650671469435795e-13,-3.7650671469435795e-13,0.9374999780690496,0.06250002193095039,4.706333101012205e-13,-4.706333101012205e-13,True
2025-02-18,0.0024449557863681637,0.0007961685143778041,0.5,0.5,0.0,transition,0,0.7499999748111871,0.2500000251888129,3.822026306554705e-12,0.0016205620634889694,0.9499999748111871,0.05000002518881286,3.822026251043553e-12,0.0022800769722851133,0.9374999685139839,0.06250003148601613,4.777532869315592e-12,0.0022388572687643505,True
2025-02-19,0.002376998097748828,0.0015542189074627677,0.5,0.5,0.0,transition,0,0.7499999410947179,0.2500000589052821,1.6858234586081267e-11,0.001965608388815483,0.949999941094718,0.05000005890528203,1.6858234586081267e-11,0.002294720064929907,0.9374999263683974,0.06250007363160259,2.1072793232601584e-11,0.0022741505567251763,True
2025-02-20,-0.004334204080303938,-0.0021061932814724904,0.5,0.5,0.0,transition,0,0.7499999703576767,0.25000002964232326,1.4631479416937764e-11,-0.003220198563432861,0.9499999703576767,0.05000002964232331,1.4631479361426613e-11,-0.00411140288296544,0.9374999629470959,0.06250003705290408,1.8289349257294418e-11,-0.004055702583630816,True
2025-02-21,-0.0170641044083224,-0.007679433446548534,0.5,0.5,0.0,transition,0,0.7499998225420843,0.2500001774579157,7.39077962164103e-11,-0.012371765670574967,0.9499998225420843,0.05000017745791574,7.39077962164103e-11,-0.016125634055284513,0.9374997781776053,0.06250022182239467,9.238474529826846e-11,-0.01589101646702504,True
2025-02-24,-0.0049691258961639395,-0.0021197769558640722,0.5,0.5,0.0,transition,0,0.749748889179831,0.25025111082016904,1.254666811266736e-07,-0.0035431458879964395,0.9497488891798309,0.05025111082016909,1.254666811266736e-07,-0.004682885464116387,0.9371861114747887,0.0628138885252113,1.5683335140831423e-07,-0.004611325356104498,False
2025-02-25,-0.004679730915472358,-0.0016715787019646045,0.5,0.5,0.0,transition,0,0.7319266522156849,0.26807334778431513,8.911118482073043e-06,-0.003075831164914788,0.7319266522156849,0.26807334778431513,0.00010891111848207302,-0.003175831164914788,0.914908315269606,0.08509168473039397,1.1138898102591332e-05,-0.004178932334029272,False
2025-02-26,0.0001360144410393893,0.00011403349108127258,0.0,1.0,0.00025,stress,2,0.5,0.5,0.00011596332610784243,0.00013406063995248852,0.47246503586622124,0.5275349641337788,0.00012973080817473183,0.00012657165425032066,0.5905812948327765,0.40941870516722345,0.00016216351021841472,6.720619504258277e-05,False
2025-02-27,-0.01586451446090209,0.0003639010189229186,0.0,1.0,0.0,stress,2,0.31410377249392957,0.6858962275060705,9.294811375303522e-05,-0.004826453618642036,0.31410377249392957,0.6858962275060705,7.918063168614584e-05,-0.004812686136575146,0.39262971561741195,0.6073702843825881,9.897578960768229e-05,-0.0061068329254496635,False
2025-02-28,0.015854114170776867,0.0018188432157149048,0.0,1.0,0.0,stress,2,0.25066557243870524,0.7493344275612948,3.171910002761216e-05,0.005305283343970232,0.25066557243870524,0.7493344275612948,3.171910002761216e-05,0.005305283343970232,0.31333196554838155,0.6866680344516185,3.9648875034515194e-05,0.006176893376034064,False
2025-03-03,-0.017596775547904953,-0.0024207213749697365,0.0,1.0,0.0,stress,2,0.25045266081553497,0.749547339184465,1.0645581158513773e-07,-0.0062217109790736495,0.25045266081553497,0.749547339184465,1.0645581158513773e-07,-0.0062217109790736495,0.31104798133369554,0.6889520186663045,1.141992107343004e-06,-0.007142344382179385,False
2025-03-04,-0.012234773630190987,0.00012132977432677272,0.0,1.0,0.0,stress,2,0.25,0.75,2.2633040776748325e-07,-0.0029679224072104347,0.25,0.75,2.2633040776748325e-07,-0.0029679224072104347,0.2850712488371069,0.7149287511628931,1.298836624829433e-05,-0.0034140284202078272,False
2025-03-05,0.011159281084776262,-0.001091835496785154,0.0,1.0,0.0,stress,2,0.25000000314376053,0.7499999968562394,1.5718802648390096e-12,0.001970943685547897,0.25000000314376053,0.7499999968562394,1.5718802648390096e-12,0.001970943685547897,0.2820068781305463,0.7179931218694537,1.5321853532802854e-06,0.002361531458641071,False
2025-03-06,-0.017819030128555013,0.0006072382803010701,0.0,1.0,0.0,stress,2,0.25000001082365797,0.749999989176342,3.839948720107955e-12,-0.003999329025192526,0.25000001082365797,0.749999989176342,3.839948720107955e-12,-0.003999329025192526,0.2699995395805604,0.7300004604194397,6.003669274992962e-06,-0.004373849375552891,False
2025-03-07,0.005520587189728143,-0.000121373953149706,0.0,1.0,0.0,stress,2,0.2500000058223299,0.74999999417767,2.5006640369529265e-12,0.0012891163629184515,0.2500000058223299,0.74999999417767,2.5006640369529265e-12,0.0012891163629184515,0.25474431015843974,0.7452556898415603,7.627614711060327e-06,0.0013082559314223736,False
2025-03-10,-0.026973068524487775,0.0018208302986162384,0.0,1.0,0.0,stress,2,0.25000000000715716,0.7499999999928428,2.907586366118764e-12,-0.005377644410273434,0.25000000000715716,0.7499999999928428,2.907586366118764e-12,-0.005377644410273434,0.2536792774312437,0.7463207225687563,5.325163635980234e-07,-0.005484117665620724,False
2025-03-11,-0.007567823658488071,-0.0006058403004967072,0.0,1.0,0.0,stress,2,0.2500000000022169,0.7499999999977831,2.4701352074885107e-15,-0.0023463361400124522,0.2500000000022169,0.7499999999977831,2.4701352074885107e-15,-0.0023463361400124522,0.25,0.75,1.839638715621844e-06,-0.00234817577871017,False
2025-03-12,0.004886873280486537,-0.0007274490785644794,0.0,1.0,0.0,stress,2,0.2500000000002681,0.7499999999997319,9.743872375622687e-16,0.0006761315111988057,0.25,0.75,1.1084466677857563e-15,0.0006761315111971661,0.25,0.75,0.0,0.0006761315111982746,False
2025-03-13,-0.013891022092047178,0.0007279786459597481,0.0,1.0,0.0,stress,2,0.25000000184460486,0.7499999981553951,9.221683694438098e-13,-0.0029267715664304315,0.25,0.75,0.0,-0.0029267715385419835,0.25,0.75,0.0,-0.0029267715385419835,False
2025-03-14,0.021265883307494793,-0.0007274490785644794,0.0,1.0,0.0,stress,2,0.25000000123310306,0.7499999987668969,3.0575089682294275e-13,0.0047708840447646325,0.25,0.75,0.0,0.004770884017950339,0.25,0.75,0.0,0.004770884017950339,False
2025-03-17,0.006416099479689574,-0.0003639893229798741,0.0,1.0,0.0,stress,2,0.2500000026579271,0.7499999973420729,7.124120182666616e-13,0.0013310328949960575,0.2500000026579271,0.7499999973420729,1.3289635503177521e-12,0.001331032894379506,0.25,0.75,0.0,0.001331032877687488,False
2025-03-18,-0.010653519220738983,0.0,0.0,1.0,0.0,stress,2,0.2500002458142097,0.7499997541857903,1.2157814130442368e-10,-0.0026633825455492947,0.2500002458142097,0.7499997541857903,1.2157814130442368e-10,-0.0026633825455492947,0.25,0.75,0.0,-0.0026633798051847457,False
2025-03-19,0.010798516740105457,0.001456487437795806,0.0,1.0,0.0,stress,2,0.25000018141727415,0.7499998185827259,3.2198467780908403e-11,0.003791996425980242,0.25,0.75,1.2290710485474144e-10,0.0037919946404661137,0.25,0.75,0.0,0.0037919947633732187,False
2025-03-20,-0.002184910374623983,0.00024239486122890064,0.0,1.0,0.0,stress,2,0.2500006737065576,0.7499993262934423,2.461446417245661e-10,-0.00036443332917041667,0.25,0.75,0.0,-0.00036443144773432024,0.25,0.75,0.0,-0.00036443144773432024,False
2025-03-21,0.0008246672635350283,0.0006058403004967072,0.0,1.0,0.0,stress,2,0.25001133682151827,0.7499886631784818,5.331557480336979e-09,0.0006605441905010305,0.25,0.75,0.0,0.0006605470412562875,0.25,0.75,0.0,0.0006605470412562875,False
2025-03-24,0.017646041682840563,-0.0013320416565754112,0.0,1.0,0.0,stress,2,0.2500682433774018,0.7499317566225983,2.8453277941764555e-08,0.0034137458535043346,0.25,0.75,0.0,0.0034124791782785824,0.25,0.75,0.0,0.0034124791782785824,False
2025-03-25,0.0015743198608773046,0.00036376864314302537,0.0,1.0,0.0,stress,2,0.25019073148650733,0.7498092685134927,6.124405455276704e-08,0.0006665760937552941,0.25019073148650733,0.7498092685134927,9.536574325366698e-08,0.0006665419720665932,0.25,0.75,0.0,0.0006664064475765952,False
2025-03-26,-0.01115698545004451,-0.00024242424242415517,0.0,1.0,0.0,stress,2,0.25035705561362354,0.7496429443863765,8.316206355810096e-08,-0.0029750448117422204,0.25035705561362354,0.7496429443863765,8.316206355810096e-08,-0.0029750448117422204,0.25,0.75,0.0,-0.002971064544329244,False
